,username,Item name,Fulfilled at,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
71,Alisondenman1,MAX Stretch Skinny Outdoor Trousers Stone Grey - 30L / UK12 / Stone Grey,2020-01-20,324,1,49.0,1,1,1,111
72,Alisontate,GRANITE Mid-weight Outdoor Trousers Charcoal - 28L / UK10 / Charcoal,2020-01-07,337,1,70.0,1,1,3,113
73,Alliclarke48,GRANITE Mid-weight Outdoor Trousers Grey - 26R / UK8 / Slate Grey,2020-05-22,201,1,70.0,3,1,3,313
74,Allison.cawley,Thermal Skinny Outdoor Trousers Black - 34L / UK16 / Black,2019-12-14,361,1,158.0,1,1,4,114
75,Alshilton36,Merino Recycled Beanie Heather Grey - One Size / Heather Grey,2020-04-20,233,1,23.0,2,1,1,211
76,Alysiaredmond,MAX Stretch Skinny Outdoor Trousers Storm Grey - 38L / UK20 / Storm Grey,2020-07-23,139,1,66.0,3,1,2,312
77,Amy.waters,Biker Style Mid-Weight Outdoor Trouser Black - 26P / UK8 / Black,2020-05-05,218,1,82.0,2,1,4,214
78,Amybriggs91,GRANITE Mid-weight Outdoor Trousers Grey - 30R / UK12 / Slate Grey,2020-07-23,139,1,70.0,3,1,3,313
79,Amybriggs91,GRANITE Mid-weight Outdoor Trousers Grey - 32L / UK14 / Slate Grey,2020-07-21,141,1,70.0,3,1,3,313
80,Ana_mollie,Mid-Weight MAX Stretch Skinny Outdoor Trousers Storm Grey - 26P / UK8 / Storm grey,2020-07-26,136,1,72.0,4,1,3,413
81,Anderson.d,Cargo MAX Stretch Outdoor Trousers Khaki - 26P / UK8 / Khaki,2020-05-09,214,1,83.78,2,1,4,214
82,Andrea.stephanie.yung,Thermal Skinny Outdoor Trousers Black - 34L / UK16 / Black,2020-09-08,92,1,79.0,4,1,4,414
83,Andrew.s.mobbs,Outdoor Softshell Leggings - Small / Black,2020-08-15,116,1,49.0,4,1,1,411
84,Andy.Gwill,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 34L / UK16 / Black,2020-02-10,303,1,72.0,1,1,3,113
85,Andybrown98021,MAX Stretch Skinny Outdoor Trousers Black - 28P / UK10 / Black,2020-04-26,227,1,66.0,2,1,2,212
86,Ania01froehlich,MAX Stretch Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-06-06,186,1,68.43,3,1,3,313
87,Ann.mount,MAX Stretch Skinny Outdoor Trousers Navy - 28L / UK10 / Navy,2020-06-14,178,1,66.0,3,1,2,312
88,Ann.mount,Mid-Weight MAX Stretch Skinny Outdoor Trousers Storm Grey - 26R / UK8 / Storm grey,2020-06-18,174,1,72.0,3,1,3,313
89,Anne_marie_coates,MAX Stretch Skinny Outdoor Trousers Brown - 28L / UK10 / Brown,2020-01-24,320,1,49.0,1,1,1,111
90,Anne_marie_coates,Mid-Weight MAX Stretch Skinny Outdoor Trousers Khaki - 28R / UK10 / Khaki,2020-01-13,331,1,72.0,1,1,3,113
91,Anrol_lorna,MAX Stretch Skinny Outdoor Trousers Black - 32R / UK14 / Black,2020-04-08,245,1,66.0,2,1,2,212
92,Aoffermann,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 28P / UK10 / Black,2020-01-17,327,1,74.25,1,1,4,114
93,Aoife.mccormack1,Thermal Skinny Outdoor Trousers Navy - 26P / UK8 / Navy,2020-08-20,111,1,81.96,4,1,4,414
94,Arlaine.shepherd,Thermal Skinny Outdoor Trousers Black - 34L / UK16 / Black,2020-03-22,262,1,79.0,2,1,4,214
95,Arlaine.shepherd,Water Resistant Summer Hiking Shorts Black - 32R / UK14 / Black,2020-07-30,132,1,30.0,4,1,1,411
96,Astaley-best,MAX Stretch Skinny Outdoor Trousers Black - 26L / UK8 / Black,2020-05-24,199,1,66.0,3,1,2,312
97,Athena.p.trinh,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 26P / UK8 / Black,2019-12-30,345,1,72.0,1,1,3,113
98,Avrilbiscombe,MAX Stretch Skinny Outdoor Trousers Storm Grey - 32R / UK14 / Storm Grey,2020-07-21,141,1,66.0,3,1,2,312
99,Avrilbiscombe,Mid-Weight MAX Stretch Skinny Outdoor Trousers Navy - 32R / UK14 / Navy,2020-07-23,139,1,72.0,3,1,3,313
100,Azw111,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-08-18,113,1,72.0,4,1,3,413
101,Badger.Tansley,Water Resistant Summer Hiking Shorts Black - 28R / UK10 / Black,2020-04-25,228,1,30.0,2,1,1,211
102,Ball8james,Mid-Weight MAX Stretch Skinny Outdoor Trousers Navy - 26R / UK8 / Navy,2020-01-25,319,1,72.0,1,1,3,113
103,Bartonholm,MAX Stretch Skinny Outdoor Trousers Stone Grey - 32R / UK14 / Stone Grey,2020-04-08,245,1,49.0,2,1,1,211
104,Beebeekarra,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 38R / UK20 / Black,2020-05-17,206,1,72.0,2,1,3,213
105,Benchmarkproperty,GRANITE Mid-Weight Outdoor Trousers Indigo Blue - 30L / UK12 / Indigo Blue,2020-09-08,92,1,50.0,4,1,1,411
106,Bestwickm,GRANITE Mid-Weight Outdoor Trousers Grey - 30P / UK12 / Slate Grey,2020-08-16,115,1,70.0,4,1,3,413
107,Bethanaheap,MAX Stretch Skinny Outdoor Trousers Black - 26R / UK8 / Black,2020-06-20,172,1,66.0,3,1,2,312
108,Bexy2306,GRANITE Mid-weight Outdoor Trousers Grey - 26R / UK8 / Slate Grey,2020-05-11,212,1,70.0,2,1,3,213
109,Blair.stewart,Thermal Skinny Outdoor Trousers Grey - 30L / UK12 / Grey,2019-12-26,349,1,79.0,1,1,4,114
110,Boomummy,Chino Slim Fit Roll Up Trousers Black - 34 / UK16 / Black,2020-01-18,326,1,40.0,1,1,1,111
111,Boomummy,Chino Slim Fit Roll Up Trousers Khaki - 36 / UK18 / Khaki,2020-04-25,228,1,80.0,2,1,4,214
112,Boss,Casual Stroll Pants Black - 32R / UK14 / Black,2020-08-19,112,1,72.0,4,1,3,413
113,Boss,Outdoor Softshell Leggings - Large / Black,2020-08-26,105,1,49.0,4,1,1,411
114,Boswell.l,Thermal Skinny Outdoor Trousers Navy - 28R / UK10 / Navy,2020-02-22,291,1,79.0,2,1,4,214
115,Bracey65,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 28R / UK10 / Ocean Blue,2020-03-19,265,1,50.0,2,1,1,211
116,Bryonysadie,MAX Stretch Skinny Outdoor Trousers Black - 28L / UK10 / Black,2020-06-07,185,1,66.0,3,1,2,312
117,C.knight8,Thermal Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-01-03,341,1,79.0,1,1,4,114
118,CATYKITKAT,GRANITE Mid-weight Outdoor Trousers Grey - 28P / UK10 / Slate Grey,2019-12-09,366,1,70.0,1,1,3,113
119,Caitlawson016,GRANITE Mid-weight Outdoor Trousers Grey - 28R / UK10 / Slate Grey,2020-03-30,254,1,70.0,2,1,3,213
120,Calmfromwithin,Thermal Skinny Outdoor Trousers Black - 28P / UK10 / Black,2020-01-18,326,1,79.0,1,1,4,114
121,Camilla.reeve,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 30P / UK12 / Ocean Blue,2020-01-18,326,1,50.0,1,1,1,111
122,Camillahiggins87,MAX Stretch Skinny Outdoor Trousers Khaki - 28R / UK10 / Khaki,2020-07-24,138,1,66.0,3,1,2,312
123,Candless101,GRANITE Mid-weight Outdoor Trousers Charcoal - 34R / UK16 / Charcoal,2020-07-07,155,1,70.0,3,1,3,313
124,Candless101,GRANITE Mid-weight Outdoor Trousers Indigo Blue - 34L / UK16 / Indigo Blue,2020-03-13,271,1,70.0,2,1,3,213
125,Candless101,MAX Stretch Skinny Outdoor Trousers Black - 34R / UK16 / Black,2020-06-03,189,1,66.0,3,1,2,312
126,Cara.whitehouse,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 34R / UK16 / Ocean Blue,2020-01-24,320,1,50.0,1,1,1,111
127,Cara.whitehouse,Thermal Skinny Outdoor Trousers Grey - 34P / UK16 / Grey,2020-08-12,119,1,79.0,4,1,4,414
128,Cara.whitehouse,Thermal Skinny Outdoor Trousers Navy - 34P / UK16 / Navy,2020-09-07,93,1,79.0,4,1,4,414
129,Caramillard,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 26P / UK8 / Black,2020-07-27,135,1,72.0,4,1,3,413
130,Carlysmith355,GRANITE Mid-Weight Outdoor Trousers Ocean Blue - 24R / UK6 / Ocean Blue,2020-08-03,128,1,50.0,4,1,1,411
131,Carole.lawford1,Chino Slim Fit Roll Up Trousers Black - 36 / UK18 / Black,2020-05-15,208,1,40.0,2,1,1,211
132,Caroline.entwistle70,Cargo MAX Stretch Outdoor Trousers Khaki - 32R / UK14 / Khaki,2020-06-13,179,1,69.0,3,1,3,313
133,Caroline.entwistle70,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 32R / UK14 / Ocean Blue,2020-01-27,317,1,50.0,1,1,1,111
134,Caroline.entwistle70,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 32R / UK14 / Black,2020-07-26,136,1,72.0,4,1,3,413
135,Caroline.entwistle70,Mid-Weight MAX Stretch Skinny Outdoor Trousers Winterberry - 32L / UK14 / Winterberry,2020-06-21,171,1,72.0,3,1,3,313
136,Caroline.entwistle70,Outdoor Softshell Leggings - Large / Black,2020-08-09,122,1,49.0,4,1,1,411
137,Caroline.entwistle70,Water Resistant Summer Hiking Shorts Black - 30R / UK12 / Black,2020-07-08,154,1,30.0,3,1,1,311
138,Caroline.entwistle70,Water Resistant Summer Hiking Shorts Black - 32R / UK14 / Black,2020-06-24,168,1,30.0,3,1,1,311
139,Carolinedaisylea,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-07-10,152,1,66.0,3,1,2,312
140,Carolinemebarr,GRANITE Mid-Weight Outdoor Trousers Indigo Blue - 30L / UK12 / Indigo Blue,2020-07-28,134,1,50.0,4,1,1,411
141,Carolineworlock05,MAX Stretch Skinny Outdoor Trousers Graphite - 30P / UK12 / Graphite,2020-08-27,104,1,66.0,4,1,2,412
142,Carolyn.cairns92,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 28L / UK10 / Black,2020-06-21,171,1,72.0,3,1,3,313
143,Cassandra.miles,Casual Stroll Pants Black - 34R / UK16 / Black,2020-08-15,116,1,72.0,4,1,3,413
144,Cassandra.miles,GRANITE Mid-weight Outdoor Trousers Charcoal - 34R / UK16 / Charcoal,2020-01-25,319,1,70.0,1,1,3,113
145,Cassie.groos,Mid-Weight MAX Stretch Skinny Outdoor Trousers Winterberry - 34R / UK16 / Winterberry,2020-02-16,297,1,72.0,2,1,3,213
146,Catherine.brock,Merino Wool Hiking Socks,2020-01-25,319,1,16.0,1,1,1,111
147,Catherine.knights,MAX Stretch Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-02-11,302,1,66.0,1,1,2,112
148,Catherinebeadle,Mid-Weight MAX Stretch Skinny Outdoor Trousers Storm Grey - 32R / UK14 / Storm grey,2020-08-19,112,1,72.0,4,1,3,413
149,Cathjdickie,Grangers Wash + Repel - 300ml,2020-05-04,219,1,19.98,2,1,1,211
150,Cathjdickie,MAX Stretch Skinny Outdoor Trousers Black - 34L / UK16 / Black,2020-02-23,290,1,66.0,2,1,2,212
151,Cathyalghabra,Grangers Wash + Repel - 300ml,2020-07-28,134,1,9.99,4,1,1,411
152,Catrinaitken,GRANITE Mid-weight Outdoor Trousers Ocean Blue - 26P / UK8 / Ocean Blue,2020-06-19,173,1,50.0,3,1,1,311
153,Caz.hunt.88,MAX Stretch Skinny Outdoor Trousers Storm Grey - 30L / UK12 / Storm Grey,2020-06-27,165,1,66.0,3,1,2,312
154,Cazzaeveroche1978,GRANITE Mid-weight Outdoor Trousers Indigo Blue - 32L / UK14 / Indigo Blue,2020-06-27,165,1,51.7,3,1,2,312
155,Ccostelloe,Cargo MAX Stretch Outdoor Trousers Khaki - 34R / UK16 / Khaki,2020-06-20,172,1,71.19,3,1,3,313
156,Cej50,MAX Stretch Skinny Outdoor Trousers Navy - 30R / UK12 / Navy,2020-09-03,97,1,66.0,4,1,2,412
157,Cemery1993,MAX Stretch Skinny Outdoor Trousers Khaki - 26R / UK8 / Khaki,2020-07-08,154,1,66.0,3,1,2,312
158,Charlotte.a.sharp,Mid-Weight MAX Stretch Skinny Outdoor Trousers Storm Grey - 28R / UK10 / Storm grey,2020-06-28,164,1,72.0,3,1,3,313
159,Charlotte.acbrown,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-06-21,171,1,72.0,3,1,3,313
160,Charlotte.desborough,Mid-Weight MAX Stretch Skinny Outdoor Trousers Storm Grey - 30L / UK12 / Storm grey,2020-08-07,124,1,72.0,4,1,3,413
161,Charlotte.hughes110,Cargo MAX Stretch Outdoor Trousers Khaki - 28P / UK10 / Khaki,2020-05-02,221,1,69.0,2,1,3,213
162,Charlotte.salt,Thermal Skinny Outdoor Trousers Khaki - 28L / UK10 / Khaki,2020-01-14,330,1,79.0,1,1,4,114
163,Charlottehughes110,Outdoor Softshell Capri Leggings - Small / Black,2020-08-10,121,1,44.0,4,1,1,411
164,Cherie.carroll,Outdoor Softshell Capri Leggings - Medium / Black,2020-08-11,120,1,44.0,4,1,1,411
165,Cherie.carroll,Thermal Skinny Outdoor Trousers Black - 28P / UK10 / Black,2020-01-31,313,1,79.0,1,1,4,114
166,Chesfieldmanor,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-08-26,105,1,66.0,4,1,2,412
167,Chhaya_21,GRANITE Mid-Weight Outdoor Trousers Indigo Blue - 28R / UK10 / Indigo Blue,2020-08-19,112,1,50.0,4,1,1,411
168,Chloemassey3,GRANITE Mid-weight Outdoor Trousers Grey - 30R / UK12 / Slate Grey,2020-05-16,207,1,70.0,2,1,3,213
169,Chris,Thermal Skinny Outdoor Trousers Black - 30R / UK12 / Black,2020-01-04,340,1,79.0,1,1,4,114
170,Chris.bland,MAX Stretch Skinny Outdoor Trousers Brown - 34R / UK16 / Brown,2020-03-15,269,1,49.0,2,1,1,211
171,Chrislancaster,Thermal Seamless Base Layer Tights - Small - Medium / Black,2020-07-29,133,1,29.0,4,1,1,411
172,Christinabanahan,MAX Stretch Skinny Outdoor Trousers Navy - 28R / UK10 / Navy,2020-05-17,206,1,68.63,2,1,3,213
173,Christine,GRANITE Mid-weight Outdoor Trousers Charcoal - 26R / UK8 / Charcoal,2020-01-17,327,1,70.0,1,1,3,113
174,Christine.adnitt,Thermal Seamless Base Layer Top - Medium - Large / Black,2020-01-01,343,1,39.0,1,1,1,111
175,Christopher.campbell,Thermal Skinny Outdoor Trousers Navy - 36L / UK18 / Navy,2019-12-10,365,1,79.0,1,1,4,114
176,Ciaradowd2,MAX Stretch Skinny Outdoor Trousers Black - 34L / UK16 / Black,2020-03-15,269,1,68.0,2,1,3,213
177,Ciaradowd2,MAX Stretch Skinny Outdoor Trousers Khaki - 32R / UK14 / Khaki,2020-01-27,317,1,68.0,1,1,3,113
178,CindyLLockwood,GRANITE Mid-Weight Outdoor Trousers Grey - 32P / UK14 / Slate Grey,2020-08-02,129,1,70.0,4,1,3,413
179,Cjohnson,MAX Stretch Skinny Outdoor Trousers Black - 30L / UK12 / Black,2020-06-29,163,1,66.0,3,1,2,312
180,Cjohnson,Outdoor Softshell Leggings - Medium / Black,2020-08-10,121,1,49.0,4,1,1,411
181,Clairedenyer,Chino Slim Fit Roll Up Trousers Khaki - 32 / UK14 / Khaki,2020-01-20,324,1,80.0,1,1,4,114
182,Clairedenyer,Thermal Skinny Outdoor Trousers Navy - 32R / UK14 / Navy,2019-12-12,363,1,79.0,1,1,4,114
183,Clairekellam68,GRANITE Mid-weight Outdoor Trousers Grey - 26R / UK8 / Slate Grey,2020-07-18,144,1,72.4,3,1,4,314
184,Clairekellam68,MAX Stretch Skinny Outdoor Trousers Khaki - 26R / UK8 / Khaki,2020-06-13,179,1,68.02,3,1,3,313
185,Claireroberts0207,MAX Stretch Skinny Outdoor Trousers Black - 30P / UK12 / Black,2020-05-04,219,1,66.0,2,1,2,212
186,Clare.betts,MAX Stretch Skinny Outdoor Trousers Khaki - 30R / UK12 / Khaki,2020-07-10,152,1,66.0,3,1,2,312
187,Claregriffiths69,Thermal Skinny Outdoor Trousers Winterberry - 28R / UK10 / Winterberry,2020-08-30,101,1,79.0,4,1,4,414
188,Clarelb84,Merino Wool Hiking Socks,2020-05-11,212,1,16.0,2,1,1,211
189,Colleen.laraway,Mid-Weight MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2019-12-15,360,1,72.0,1,1,3,113
190,Cplastow,GRANITE Mid-Weight Outdoor Trousers Grey - 30L / UK12 / Slate Grey,2020-09-02,98,1,70.0,4,1,3,413
191,Cprien628,MAX Stretch Skinny Outdoor Trousers Storm Grey - 30R / UK12 / Storm Grey,2020-06-30,162,1,68.4,3,1,3,313
192,Curious.alisa44,MAX Stretch Skinny Outdoor Trousers Storm Grey - 32L / UK14 / Storm Grey,2020-06-27,165,1,66.0,3,1,2,312
193,D.kennedy1303,MAX Stretch Skinny Outdoor Trousers Black - 32R / UK14 / Black,2020-08-25,106,1,66.0,4,1,2,412
194,DHeatherbell,Chino Slim Fit Roll Up Trousers Black - 30 / UK12 / Black,2020-06-21,171,1,40.0,3,1,1,311
195,DSMillion,GRANITE Mid-weight Outdoor Trousers Charcoal - 28R / UK10 / Charcoal,2019-12-21,354,1,70.0,1,1,3,113
196,Dagmar,Thermal Skinny Outdoor Trousers Grey - 32R / UK14 / Grey,2019-12-28,347,1,82.0,1,1,4,114
197,Dan.say,GRANITE Mid-Weight Outdoor Trousers Grey - 26P / UK8 / Slate Grey,2020-07-27,135,1,70.0,4,1,3,413
198,Darlenedent,MAX Stretch Skinny Outdoor Trousers Black - 28R / UK10 / Black,2020-09-03,97,1,66.0,4,1,2,412
199,Davidreed1989,MAX Stretch Skinny Outdoor Trousers Black - 26P / UK8 / Black,2020-01-30,314,1,66.0,1,1,2,112
